act,agent,win_rate,non_mirror_wr,matches,total_matches,pick_rate_pct,kd_ratio,wr_diamond,wr_immortal,wr_immortal2,wr_radiant,m_diamond,m_immortal,m_immortal2,m_radiant,note
E6A3,Astra,50.05,0.0,227201,8721312,2.605,,50.03,50.18,49.67,50.26,118478,65250,25019,18454,ok
E7A1,Astra,50.2,0.0,451284,13239719,3.409,,50.04,50.1,50.73,50.08,143098,77863,88402,141921,ok
E7A2,Astra,48.33,0.0,77178,11455020,0.674,,48.39,48.01,48.6,49.38,49039,21763,3533,2843,ok
E7A3,Astra,50.1,0.0,318041,16793300,1.894,,50.11,50.25,49.51,50.23,168065,94536,29890,25550,ok
E8A1,Astra,50.15,0.0,169713,11823770,1.435,,50.15,50.08,50.11,50.78,111421,44258,8532,5502,ok
E8A2,Astra,45.98,0.0,60146,13784030,0.436,,46.23,45.85,45.07,43.23,39137,16686,2352,1971,ok
E8A3,Astra,47.33,0.0,61927,9127120,0.678,1.01,47.47,47.32,48.19,45.89,37122,16151,3115,5539,ok
E9A1,Astra,46.89,46.01,132241,12941820,1.022,1.004,46.82,46.81,46.47,47.42,67784,36863,7871,19723,ok
E9A2,Astra,50.13,0.0,262169,11665060,2.247,,49.96,49.89,50.84,50.56,130261,67733,40233,23942,ok
E9A3,Astra,47.41,46.38,342594,18446090,1.857,1.013,47.38,47.45,46.57,47.75,156644,95359,25301,65290,ok
V25A1,Astra,46.69,45.67,151224,8453790,1.789,1.005,46.76,46.18,45.79,48.36,80293,41633,13144,16154,ok
V25A2,Astra,47.36,46.1,162200,10558690,1.536,1.013,47.32,47.47,47.1,47.43,77541,45813,15715,23131,ok
V25A3,Astra,47.46,46.33,186430,14072740,1.325,1.014,47.55,47.07,46.97,48.37,94062,54857,14838,22673,ok
V25A4,Astra,46.38,46.25,31578,8396800,0.376,1.004,46.13,46.4,47.55,47.95,19691,8438,1428,2021,ok
V25A5,Astra,46.77,46.27,86059,10833910,0.794,1.001,46.53,46.84,46.33,47.84,42899,25068,6983,11109,ok
