act,map,agent,uuid,matches,win_rate,kd
E6A3,ALL,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,311949,51.62,0.0
E6A3,ALL,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,141712,49.66,0.0
E6A3,ALL,Omen,8e253930-4c05-31dd-1b6c-968525494517,411181,49.17,0.0
E6A3,ALL,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,55032,47.6,0.0
E6A3,ALL,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,389362,51.13,0.0
E6A3,ALL,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,141268,51.45,0.0
E6A3,ALL,Viper,707eab51-4836-f488-046a-cda6bf494859,120408,49.68,0.0
E6A3,ALL,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,49893,47.81,0.0
E6A3,ALL,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,178871,49.13,0.0
E6A3,ALL,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,55886,46.59,0.0
E6A3,ALL,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,184047,48.7,0.0
E6A3,ALL,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,473046,50.76,0.0
E6A3,ALL,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,160792,50.35,0.0
E6A3,ALL,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,301403,49.82,0.0
E6A3,ALL,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,213546,50.36,0.0
E6A3,ALL,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,377188,50.42,0.0
E6A3,ALL,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,129112,45.7,0.0
E6A3,ALL,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,118478,50.03,0.0
E6A3,ALL,Raze,f94c3b30-42be-e959-889c-5aa313dba261,361008,50.5,0.0
E6A3,ALL,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,659647,49.93,0.0
E6A3,ALL,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,230216,49.68,0.0
E6A3,Ascent,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,37850,52.14,0.0
E6A3,Ascent,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,14529,49.5,0.0
E6A3,Ascent,Omen,8e253930-4c05-31dd-1b6c-968525494517,83767,49.2,0.0
E6A3,Ascent,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,4580,46.97,0.0
E6A3,Ascent,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,44439,50.99,0.0
E6A3,Ascent,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,22868,52.08,0.0
E6A3,Ascent,Viper,707eab51-4836-f488-046a-cda6bf494859,4490,48.46,0.0
E6A3,Ascent,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,5702,47.58,0.0
E6A3,Ascent,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,8403,48.04,0.0
E6A3,Ascent,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,1784,45.91,0.0
E6A3,Ascent,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,19271,48.93,0.0
E6A3,Ascent,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,70434,51.07,0.0
E6A3,Ascent,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,11157,47.53,0.0
E6A3,Ascent,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,23615,49.24,0.0
E6A3,Ascent,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,79709,51.08,0.0
E6A3,Ascent,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,80335,50.02,0.0
E6A3,Ascent,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,34214,45.9,0.0
E6A3,Ascent,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,14938,50.19,0.0
E6A3,Ascent,Raze,f94c3b30-42be-e959-889c-5aa313dba261,33378,49.69,0.0
E6A3,Ascent,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,109099,50.06,0.0
E6A3,Ascent,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,23473,50.21,0.0
E6A3,Bind,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,74590,51.3,0.0
E6A3,Bind,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,21384,49.17,0.0
E6A3,Bind,Omen,8e253930-4c05-31dd-1b6c-968525494517,42536,48.44,0.0
E6A3,Bind,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,4664,46.33,0.0
E6A3,Bind,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,58636,51.63,0.0
E6A3,Bind,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,18000,51.39,0.0
E6A3,Bind,Viper,707eab51-4836-f488-046a-cda6bf494859,17646,50.43,0.0
E6A3,Bind,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,8912,49.26,0.0
E6A3,Bind,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,10934,48.22,0.0
E6A3,Bind,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,4211,45.02,0.0
E6A3,Bind,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,28399,48.73,0.0
E6A3,Bind,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,63571,50.76,0.0
E6A3,Bind,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,16542,50.34,0.0
E6A3,Bind,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,68688,49.94,0.0
E6A3,Bind,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,27117,50.4,0.0
E6A3,Bind,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,37948,49.53,0.0
E6A3,Bind,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,12774,45.12,0.0
E6A3,Bind,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,10772,48.38,0.0
E6A3,Bind,Raze,f94c3b30-42be-e959-889c-5aa313dba261,84944,50.46,0.0
E6A3,Bind,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,76762,49.69,0.0
E6A3,Bind,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,43821,49.56,0.0
E6A3,Fracture,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,84726,51.51,0.0
E6A3,Fracture,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,21959,49.31,0.0
E6A3,Fracture,Omen,8e253930-4c05-31dd-1b6c-968525494517,21668,46.36,0.0
E6A3,Fracture,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,16232,48.78,0.0
E6A3,Fracture,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,45122,50.29,0.0
E6A3,Fracture,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,15072,50.51,0.0
E6A3,Fracture,Viper,707eab51-4836-f488-046a-cda6bf494859,23328,49.26,0.0
E6A3,Fracture,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,6945,46.77,0.0
E6A3,Fracture,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,73294,49.88,0.0
E6A3,Fracture,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,4386,44.78,0.0
E6A3,Fracture,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,26083,48.68,0.0
E6A3,Fracture,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,66760,51.09,0.0
E6A3,Fracture,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,19234,49.86,0.0
E6A3,Fracture,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,26310,49.71,0.0
E6A3,Fracture,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,7348,47.93,0.0
E6A3,Fracture,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,57027,50.92,0.0
E6A3,Fracture,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,17072,46.3,0.0
