act,agent,top_map,top_map_frac,map_dep_score,in_rotation,effective_map_dep,total_matches,n_maps_played
E10A1,Astra,Pearl,0.4355,3.049,0,0.0,80293,7
E10A1,Breach,Fracture,0.3236,2.265,0,0.0,153988,7
E10A1,Brimstone,Fracture,0.4354,3.048,0,0.0,90883,7
E10A1,Chamber,Pearl,0.191,1.337,0,0.0,238563,7
E10A1,Clove,Abyss,0.168,1.176,1,1.176,535966,7
E10A1,Cypher,Split,0.2146,1.502,1,1.502,321649,7
E10A1,Deadlock,Abyss,0.2495,1.747,1,1.747,102048,7
E10A1,Fade,Pearl,0.4012,2.808,0,0.0,91308,7
E10A1,Gekko,Lotus,0.2315,1.62,1,1.62,116120,7
E10A1,Harbor,Pearl,0.5602,3.922,0,0.0,8816,7
E10A1,Iso,Abyss,0.3111,2.178,1,2.178,76096,7
E10A1,Jett,Abyss,0.185,1.295,1,1.295,583565,7
E10A1,Kayo,Pearl,0.2119,1.483,0,0.0,42625,7
E10A1,Killjoy,Haven,0.2333,1.633,1,1.633,140416,7
E10A1,Neon,Fracture,0.2087,1.461,0,0.0,85066,7
E10A1,Omen,Haven,0.2463,1.724,1,1.724,179141,7
E10A1,Phoenix,Pearl,0.2146,1.502,0,0.0,94800,7
E10A1,Raze,Bind,0.2903,2.032,1,2.032,224293,7
E10A1,Reyna,Abyss,0.1544,1.081,1,1.081,406151,7
E10A1,Sage,Split,0.354,2.478,1,2.478,126924,7
E10A1,Skye,Bind,0.3343,2.34,1,2.34,121448,7
E10A1,Sova,Haven,0.3606,2.524,1,2.524,187339,7
E10A1,Viper,Pearl,0.3421,2.395,0,0.0,19241,7
E10A1,Vyse,Fracture,0.1884,1.319,0,0.0,268821,7
E10A1,Yoru,Pearl,0.1779,1.245,0,0.0,76443,7
E10A2,Astra,Pearl,0.572,4.004,0,0.0,77541,7
E10A2,Breach,Fracture,0.321,2.247,0,0.0,209682,7
E10A2,Brimstone,Fracture,0.5458,3.821,0,0.0,112394,7
E10A2,Chamber,Icebox,0.2004,1.403,1,1.403,284441,7
E10A2,Clove,Lotus,0.1717,1.202,1,1.202,502663,7
E10A2,Cypher,Split,0.2568,1.798,1,1.798,297527,7
E10A2,Deadlock,Fracture,0.2042,1.43,0,0.0,84070,7
E10A2,Fade,Pearl,0.4414,3.09,0,0.0,98817,7
E10A2,Gekko,Lotus,0.2554,1.788,1,1.788,117160,7
E10A2,Harbor,Pearl,0.3598,2.519,0,0.0,12634,7
E10A2,Iso,Pearl,0.3126,2.188,0,0.0,119123,7
E10A2,Jett,Ascent,0.1703,1.192,1,1.192,665459,7
E10A2,Kayo,Ascent,0.3045,2.131,1,2.131,82508,7
E10A2,Killjoy,Icebox,0.2438,1.707,1,1.707,248437,7
E10A2,Neon,Fracture,0.2252,1.576,0,0.0,110346,7
E10A2,Omen,Haven,0.2156,1.509,1,1.509,300497,7
E10A2,Phoenix,Ascent,0.2475,1.732,1,1.732,125156,7
E10A2,Raze,Split,0.2744,1.921,1,1.921,196961,7
E10A2,Reyna,Icebox,0.1666,1.166,1,1.166,451449,7
E10A2,Sage,Split,0.2793,1.955,1,1.955,186418,7
E10A2,Skye,Split,0.3621,2.535,1,2.535,95370,7
E10A2,Sova,Icebox,0.3075,2.152,1,2.152,304197,7
E10A2,Tejo,Ascent,0.1601,1.121,1,1.121,117973,7
E10A2,Viper,Icebox,0.825,5.775,1,5.775,92631,7
E10A2,Vyse,Fracture,0.2645,1.851,0,0.0,251068,7
E10A2,Yoru,Pearl,0.2353,1.647,0,0.0,113573,7
E10A3,Astra,Pearl,0.6085,4.259,0,0.0,94062,7
E10A3,Breach,Lotus,0.2939,2.057,1,2.057,239110,7
E10A3,Brimstone,Ascent,0.1999,1.399,1,1.399,75286,7
E10A3,Chamber,Icebox,0.2079,1.455,1,1.455,344838,7
E10A3,Clove,Sunset,0.1704,1.193,0,0.0,742078,7
E10A3,Cypher,Split,0.2386,1.67,1,1.67,449318,7
E10A3,Deadlock,Sunset,0.2635,1.845,0,0.0,114002,7
E10A3,Fade,Pearl,0.4138,2.897,0,0.0,184608,7
E10A3,Gekko,Sunset,0.2898,2.029,0,0.0,207745,7
E10A3,Harbor,Icebox,0.3942,2.759,1,2.759,16843,7
E10A3,Iso,Pearl,0.333,2.331,0,0.0,173830,7
E10A3,Jett,Icebox,0.1721,1.205,1,1.205,911570,7
E10A3,Kayo,Ascent,0.2754,1.928,1,1.928,121913,7
E10A3,Killjoy,Icebox,0.3046,2.132,1,2.132,320048,7
E10A3,Neon,Sunset,0.203,1.421,0,0.0,181161,7
E10A3,Omen,Haven,0.196,1.372,1,1.372,437852,7
E10A3,Phoenix,Ascent,0.2279,1.595,1,1.595,197987,7
E10A3,Raze,Split,0.266,1.862,1,1.862,292720,7
E10A3,Reyna,Icebox,0.1686,1.18,1,1.18,685247,7
E10A3,Sage,Split,0.2721,1.905,1,1.905,251116,7
E10A3,Skye,Split,0.3646,2.553,1,2.553,134555,7
E10A3,Sova,Icebox,0.2756,1.929,1,1.929,491118,7
E10A3,Tejo,Ascent,0.1677,1.174,1,1.174,39589,7
E10A3,Viper,Icebox,0.8415,5.891,1,5.891,125102,7
E10A3,Vyse,Split,0.2035,1.424,1,1.424,144809,7
E10A3,Yoru,Pearl,0.2458,1.721,0,0.0,150528,7
E11A1,Astra,Corrode,0.3055,2.138,0,0.0,19691,7
E11A1,Breach,Lotus,0.3549,2.484,0,0.0,94419,7
E11A1,Brimstone,Bind,0.5536,3.875,1,3.875,58214,7
E11A1,Chamber,Icebox,0.2017,1.412,1,1.412,234656,7
E11A1,Clove,Sunset,0.1732,1.213,0,0.0,455177,7
E11A1,Cypher,Bind,0.2165,1.516,1,1.516,265108,7
E11A1,Deadlock,Corrode,0.2647,1.853,0,0.0,88419,7
E11A1,Fade,Corrode,0.3441,2.409,0,0.0,150279,7
E11A1,Gekko,Sunset,0.287,2.009,0,0.0,105788,7
E11A1,Harbor,Icebox,0.4595,3.216,1,3.216,5587,7
E11A1,Iso,Lotus,0.3365,2.355,0,0.0,75686,7
E11A1,Jett,Icebox,0.1824,1.277,1,1.277,515703,7
E11A1,Kayo,Ascent,0.3063,2.144,1,2.144,53749,7
E11A1,Killjoy,Icebox,0.346,2.422,1,2.422,162830,7
E11A1,Neon,Sunset,0.2212,1.548,0,0.0,109872,7
E11A1,Omen,Haven,0.1901,1.331,1,1.331,238010,7
E11A1,Phoenix,Ascent,0.2559,1.791,1,1.791,94011,7
E11A1,Raze,Bind,0.3317,2.322,1,2.322,182646,7
E11A1,Reyna,Icebox,0.1669,1.169,1,1.169,411218,7
E11A1,Sage,Icebox,0.1846,1.293,1,1.293,98275,7
E11A1,Skye,Bind,0.4846,3.392,1,3.392,86297,7
E11A1,Sova,Icebox,0.263,1.841,1,1.841,336969,7
E11A1,Tejo,Corrode,0.257,1.799,0,0.0,46797,7
E11A1,Viper,Icebox,0.8135,5.694,1,5.694,79567,7
E11A1,Vyse,Bind,0.1958,1.37,1,1.37,21944,7
E11A1,Yoru,Bind,0.1833,1.283,1,1.283,90097,7
E11A2,Astra,Abyss,0.4837,3.386,1,3.386,42899,7
E11A2,Breach,Lotus,0.3053,2.137,0,0.0,120665,7
E11A2,Brimstone,Bind,0.5425,3.797,1,3.797,76017,7
E11A2,Chamber,Lotus,0.2035,1.425,0,0.0,294577,7
E11A2,Clove,Sunset,0.1627,1.139,0,0.0,613882,7
E11A2,Cypher,Bind,0.1937,1.356,1,1.356,347387,7
E11A2,Deadlock,Corrode,0.246,1.722,0,0.0,122009,7
E11A2,Fade,Corrode,0.3518,2.463,0,0.0,220941,7
E11A2,Gekko,Sunset,0.2731,1.912,0,0.0,128043,7
E11A2,Harbor,Abyss,0.3168,2.217,1,2.217,5610,7
E11A2,Iso,Lotus,0.2434,1.704,0,0.0,136468,7
E11A2,Jett,Ascent,0.185,1.295,1,1.295,602731,7
E11A2,Kayo,Ascent,0.2898,2.029,1,2.029,72749,7
E11A2,Killjoy,Ascent,0.4288,3.002,1,3.002,128979,7
E11A2,Neon,Sunset,0.2234,1.564,0,0.0,137118,7
E11A2,Omen,Haven,0.1797,1.258,1,1.258,324265,7
E11A2,Phoenix,Ascent,0.2453,1.717,1,1.717,114013,7
E11A2,Raze,Bind,0.3339,2.337,1,2.337,224172,7
E11A2,Reyna,Haven,0.152,1.064,1,1.064,484969,7
E11A2,Sage,Haven,0.162,1.134,1,1.134,144569,7
E11A2,Skye,Bind,0.4555,3.188,1,3.188,107040,7
E11A2,Sova,Ascent,0.264,1.848,1,1.848,397660,7
E11A2,Tejo,Corrode,0.2719,1.903,0,0.0,109887,7
E11A2,Viper,Corrode,0.3102,2.172,0,0.0,19673,7
E11A2,Vyse,Bind,0.1763,1.234,1,1.234,35552,7
E11A2,Yoru,Bind,0.1682,1.177,1,1.177,153543,7
E11A3,Astra,Pearl,0.4438,3.106,1,3.106,96311,7
E11A3,Breach,Split,0.2845,1.991,1,1.991,138265,7
E11A3,Brimstone,Bind,0.4915,3.44,1,3.44,109204,7
E11A3,Chamber,Pearl,0.1914,1.34,1,1.34,561209,7
E11A3,Clove,Sunset,0.1619,1.134,1,1.134,971784,7
E11A3,Cypher,Split,0.1968,1.377,1,1.377,287598,7
E11A3,Deadlock,Corrode,0.228,1.596,0,0.0,200363,7
E11A3,Fade,Corrode,0.3237,2.266,0,0.0,349096,7
E11A3,Gekko,Sunset,0.275,1.925,1,1.925,157518,7
E11A3,Harbor,Pearl,0.3453,2.417,1,2.417,35943,7
E11A3,Iso,Corrode,0.2633,1.843,0,0.0,139096,7
E11A3,Jett,Haven,0.173,1.211,1,1.211,901930,7
E11A3,Kayo,Pearl,0.1771,1.24,1,1.24,110789,7
E11A3,Killjoy,Haven,0.3545,2.482,1,2.482,156961,7
E11A3,Neon,Sunset,0.211,1.477,1,1.477,199523,7
E11A3,Omen,Haven,0.1991,1.394,1,1.394,353661,7
E11A3,Phoenix,Sunset,0.1802,1.262,1,1.262,190994,7
E11A3,Raze,Bind,0.3339,2.338,1,2.338,308927,7
E11A3,Reyna,Haven,0.1514,1.06,1,1.06,753615,7
E11A3,Sage,Split,0.3044,2.131,1,2.131,309396,7
E11A3,Skye,Bind,0.3158,2.21,1,2.21,247902,7
E11A3,Sova,Haven,0.287,2.009,1,2.009,474071,7
E11A3,Tejo,Corrode,0.2602,1.821,0,0.0,231710,7
E11A3,Viper,Pearl,0.237,1.659,1,1.659,29781,7
E11A3,Vyse,Split,0.1888,1.322,1,1.322,60657,7
E11A3,Yoru,Pearl,0.1771,1.239,1,1.239,160520,7
E12A1,Astra,Pearl,0.3223,2.256,1,2.256,128332,7
E12A1,Breach,Split,0.3404,2.383,1,2.383,104419,7
E12A1,Brimstone,Bind,0.4942,3.459,1,3.459,96820,7
E12A1,Chamber,Breeze,0.1883,1.318,0,0.0,736164,7
E12A1,Clove,Corrode,0.1705,1.193,0,0.0,858078,7
E12A1,Cypher,Split,0.234,1.638,1,1.638,235321,7
E12A1,Deadlock,Corrode,0.2783,1.948,0,0.0,134310,7
E12A1,Fade,Corrode,0.3396,2.377,0,0.0,334498,7
E12A1,Gekko,Pearl,0.2011,1.407,1,1.407,99804,7
E12A1,Harbor,Breeze,0.565,3.955,0,0.0,37008,7
E12A1,Iso,Corrode,0.3569,2.498,0,0.0,87156,7
E12A1,Jett,Haven,0.1663,1.164,1,1.164,883545,7
E12A1,Kayo,Breeze,0.1934,1.354,0,0.0,87644,7
E12A1,Killjoy,Haven,0.3741,2.619,1,2.619,126427,7
E12A1,Neon,Breeze,0.1689,1.182,0,0.0,223861,7
E12A1,Omen,Haven,0.2185,1.529,1,1.529,284287,7
E12A1,Phoenix,Haven,0.2019,1.413,1,1.413,180092,7
E12A1,Raze,Bind,0.3943,2.76,1,2.76,238681,7
E12A1,Reyna,Haven,0.1514,1.059,1,1.059,606040,7
E12A1,Sage,Split,0.3394,2.376,1,2.376,248847,7
E12A1,Skye,Bind,0.3249,2.274,1,2.274,246203,7
E12A1,Sova,Haven,0.2693,1.885,1,1.885,487630,7
E12A1,Tejo,Corrode,0.2624,1.837,0,0.0,245454,7
E12A1,Viper,Breeze,0.783,5.481,0,0.0,115017,7
E12A1,Vyse,Split,0.1962,1.373,1,1.373,78407,7
E12A1,Yoru,Breeze,0.1789,1.252,0,0.0,245120,7
E6A3,Astra,Pearl,0.2786,1.95,1,1.95,118478,7
E6A3,Breach,Fracture,0.4098,2.868,1,2.868,178871,7
E6A3,Brimstone,Fracture,0.2716,1.901,1,1.901,311949,7
E6A3,Chamber,Lotus,0.1994,1.396,0,0.0,184047,7
E6A3,Cypher,Split,0.1921,1.345,1,1.345,230216,7
E6A3,Fade,Pearl,0.2639,1.848,1,1.848,141712,7
E6A3,Gekko,Lotus,0.2548,1.783,0,0.0,160792,7
E6A3,Harbor,Pearl,0.4771,3.34,1,3.34,55886,7
E6A3,Jett,Ascent,0.1654,1.158,1,1.158,659647,7
E6A3,Kayo,Ascent,0.265,1.855,1,1.855,129112,7
E6A3,Killjoy,Ascent,0.213,1.491,1,1.491,377188,7
E6A3,Neon,Fracture,0.295,2.065,1,2.065,55032,7
E6A3,Omen,Haven,0.2172,1.52,1,1.52,411181,7
E6A3,Phoenix,Pearl,0.198,1.386,1,1.386,141268,7
E6A3,Raze,Bind,0.2353,1.647,1,1.647,361008,7
E6A3,Reyna,Haven,0.1559,1.091,1,1.091,473046,7
E6A3,Sage,Split,0.2429,1.701,1,1.701,389362,7
E6A3,Skye,Bind,0.2279,1.595,1,1.595,301403,7
E6A3,Sova,Ascent,0.3733,2.613,1,2.613,213546,7
E6A3,Viper,Pearl,0.401,2.807,1,2.807,120408,7
E6A3,Yoru,Bind,0.1786,1.25,1,1.25,49893,7
E7A1,Astra,Pearl,0.3372,2.36,1,2.36,143098,7
E7A1,Breach,Fracture,0.4407,3.085,1,3.085,202451,7
E7A1,Brimstone,Fracture,0.3002,2.101,1,2.101,337409,7
E7A1,Chamber,Lotus,0.1964,1.375,1,1.375,250459,7
E7A1,Cypher,Split,0.1982,1.388,0,0.0,233402,7
E7A1,Deadlock,Bind,0.1642,1.15,1,1.15,150692,7
E7A1,Fade,Pearl,0.3014,2.11,1,2.11,120533,7
E7A1,Gekko,Lotus,0.308,2.156,1,2.156,113246,7
E7A1,Harbor,Pearl,0.5338,3.736,1,3.736,40908,7
E7A1,Jett,Ascent,0.1672,1.17,1,1.17,725278,7
E7A1,Kayo,Ascent,0.3158,2.211,1,2.211,100459,7
E7A1,Killjoy,Ascent,0.2201,1.54,1,1.54,350216,7
E7A1,Neon,Fracture,0.3062,2.143,1,2.143,46959,7
E7A1,Omen,Haven,0.2208,1.545,1,1.545,455174,7
E7A1,Phoenix,Pearl,0.2185,1.529,1,1.529,140743,7
E7A1,Raze,Bind,0.2348,1.644,1,1.644,401716,7
E7A1,Reyna,Haven,0.1596,1.117,1,1.117,481897,7
E7A1,Sage,Split,0.2811,1.967,0,0.0,303220,7
E7A1,Skye,Bind,0.2355,1.648,1,1.648,376908,7
E7A1,Sova,Ascent,0.4067,2.846,1,2.846,226979,7
E7A1,Viper,Pearl,0.4215,2.95,1,2.95,97783,7
E7A1,Yoru,Bind,0.1992,1.394,1,1.394,55924,7
E7A2,Astra,Split,0.2443,1.71,0,0.0,49039,7
E7A2,Breach,Lotus,0.3252,2.277,1,2.277,133868,7
E7A2,Brimstone,Bind,0.4963,3.474,1,3.474,149699,7
E7A2,Chamber,Breeze,0.214,1.498,1,1.498,333600,7
E7A2,Clove,Sunset,0.1688,1.182,0,0.0,454379,7
E7A2,Cypher,Sunset,0.2419,1.694,0,0.0,600809,7
E7A2,Deadlock,Bind,0.1882,1.317,1,1.317,56330,7
E7A2,Fade,Lotus,0.2719,1.904,1,1.904,103084,7
E7A2,Gekko,Lotus,0.2362,1.654,1,1.654,366979,7
E7A2,Harbor,Breeze,0.3546,2.482,1,2.482,27434,7
E7A2,Jett,Breeze,0.1858,1.301,1,1.301,810900,7
E7A2,Kayo,Ascent,0.2441,1.708,1,1.708,162298,7
E7A2,Killjoy,Ascent,0.3289,2.302,1,2.302,267185,7
E7A2,Neon,Breeze,0.2447,1.713,1,1.713,51464,7
E7A2,Omen,Ascent,0.2107,1.475,1,1.475,450429,7
E7A2,Phoenix,Ascent,0.2394,1.676,1,1.676,168936,7
E7A2,Raze,Bind,0.236,1.652,1,1.652,488438,7
E7A2,Reyna,Icebox,0.1639,1.147,1,1.147,669579,7
E7A2,Sage,Split,0.2611,1.827,0,0.0,305343,7
E7A2,Skye,Bind,0.2906,2.034,1,2.034,249185,7
E7A2,Sova,Ascent,0.2677,1.874,1,1.874,438161,7
E7A2,Viper,Breeze,0.4649,3.254,1,3.254,317818,7
E7A2,Yoru,Breeze,0.2541,1.779,1,1.779,98373,7
E7A3,Astra,Split,0.2266,1.586,0,0.0,168065,7
E7A3,Breach,Lotus,0.3129,2.19,1,2.19,226802,7
E7A3,Brimstone,Bind,0.3722,2.606,1,2.606,407840,7
E7A3,Chamber,Breeze,0.2328,1.629,1,1.629,417683,7
E7A3,Cypher,Sunset,0.2223,1.556,0,0.0,768715,7
E7A3,Deadlock,Bind,0.184,1.288,1,1.288,48991,7
E7A3,Fade,Sunset,0.2528,1.77,0,0.0,153843,7
E7A3,Gekko,Lotus,0.2895,2.026,1,2.026,192188,7
E7A3,Harbor,Breeze,0.3581,2.506,1,2.506,55799,7
E7A3,Jett,Breeze,0.181,1.267,1,1.267,1065184,7
E7A3,Kayo,Ascent,0.2599,1.82,1,1.82,190680,7
E7A3,Killjoy,Ascent,0.2891,2.024,1,2.024,445050,7
E7A3,Neon,Breeze,0.259,1.813,1,1.813,82961,7
E7A3,Omen,Haven,0.1917,1.342,1,1.342,937222,7
E7A3,Phoenix,Sunset,0.1904,1.333,0,0.0,241254,7
E7A3,Raze,Bind,0.2419,1.693,1,1.693,611963,7
E7A3,Reyna,Breeze,0.1559,1.091,1,1.091,921412,7
E7A3,Sage,Split,0.259,1.813,0,0.0,535947,7
E7A3,Skye,Bind,0.2284,1.599,1,1.599,633084,7
E7A3,Sova,Ascent,0.2869,2.008,1,2.008,526037,7
E7A3,Viper,Breeze,0.7285,5.1,1,5.1,277463,7
E7A3,Yoru,Breeze,0.1987,1.391,1,1.391,110938,7
E8A1,Astra,Split,0.261,1.827,1,1.827,111421,7
E8A1,Breach,Lotus,0.3647,2.553,1,2.553,154882,7
E8A1,Brimstone,Bind,0.4838,3.387,1,3.387,269234,7
E8A1,Chamber,Icebox,0.2123,1.486,1,1.486,383186,7
E8A1,Cypher,Sunset,0.2411,1.688,0,0.0,658337,7
E8A1,Deadlock,Lotus,0.188,1.316,1,1.316,81880,7
E8A1,Fade,Sunset,0.2349,1.644,0,0.0,114237,7
E8A1,Gekko,Lotus,0.2964,2.075,1,2.075,213505,7
E8A1,Harbor,Breeze,0.3153,2.207,1,2.207,35973,7
E8A1,Jett,Breeze,0.1773,1.241,1,1.241,1003460,7
E8A1,Kayo,Ascent,0.2459,1.721,1,1.721,161711,7
E8A1,Killjoy,Ascent,0.3402,2.381,1,2.381,291224,7
E8A1,Neon,Breeze,0.2444,1.711,1,1.711,60586,7
E8A1,Omen,Ascent,0.2159,1.511,1,1.511,711985,7
E8A1,Phoenix,Ascent,0.237,1.659,1,1.659,169810,7
E8A1,Raze,Bind,0.2419,1.694,1,1.694,508899,7
E8A1,Reyna,Icebox,0.1648,1.153,1,1.153,824943,7
E8A1,Sage,Split,0.2714,1.9,1,1.9,381616,7
E8A1,Skye,Bind,0.2694,1.886,1,1.886,401017,7
E8A1,Sova,Icebox,0.2682,1.877,1,1.877,526896,7
E8A1,Viper,Breeze,0.4689,3.282,1,3.282,386909,7
E8A1,Yoru,Breeze,0.2147,1.503,1,1.503,104650,7
E8A2,Astra,Split,0.1977,1.582,1,1.582,39137,8
E8A2,Breach,Lotus,0.3068,2.454,1,2.454,171254,8
E8A2,Brimstone,Bind,0.5064,4.051,1,4.051,135387,8
E8A2,Chamber,Lotus,0.2143,1.715,1,1.715,388010,8
E8A2,Clove,Sunset,0.1787,1.429,0,0.0,823412,8
E8A2,Cypher,Sunset,0.2492,1.994,0,0.0,688036,8
E8A2,Deadlock,Bind,0.1961,1.568,1,1.568,76718,8
E8A2,Fade,Lotus,0.308,2.464,1,2.464,117465,8
E8A2,Gekko,Sunset,0.2305,1.844,0,0.0,479256,8
E8A2,Harbor,Breeze,0.5086,4.069,1,4.069,62759,8
E8A2,Jett,Icebox,0.1783,1.426,1,1.426,953225,8
E8A2,Kayo,Ascent,0.2547,2.038,1,2.038,192664,8
E8A2,Killjoy,Ascent,0.3107,2.485,1,2.485,339474,8
E8A2,Neon,Lotus,0.1816,1.453,1,1.453,94183,8
E8A2,Omen,Ascent,0.2105,1.684,1,1.684,412782,8
E8A2,Phoenix,Ascent,0.2368,1.894,1,1.894,184438,8
E8A2,Raze,Bind,0.235,1.88,1,1.88,554274,8
E8A2,Reyna,Icebox,0.1659,1.327,1,1.327,806775,8
E8A2,Sage,Split,0.2317,1.853,1,1.853,362870,8
E8A2,Skye,Bind,0.3097,2.477,1,2.477,262330,8
E8A2,Sova,Ascent,0.2704,2.163,1,2.163,517757,8
E8A2,Viper,Breeze,0.4667,3.733,1,3.733,217408,8
E8A2,Yoru,Breeze,0.2396,1.917,1,1.917,106118,8
E8A3,Astra,Abyss,0.4317,3.022,0,0.0,37122,7
E8A3,Breach,Lotus,0.2562,1.793,1,1.793,140249,7
E8A3,Brimstone,Bind,0.5313,3.719,1,3.719,88541,7
E8A3,Chamber,Icebox,0.2195,1.536,1,1.536,242814,7
E8A3,Clove,Sunset,0.1789,1.252,1,1.252,543035,7
E8A3,Cypher,Sunset,0.2652,1.856,1,1.856,455285,7
E8A3,Deadlock,Abyss,0.2979,2.085,0,0.0,88456,7
E8A3,Fade,Lotus,0.3432,2.402,1,2.402,86346,7
E8A3,Gekko,Lotus,0.2121,1.484,1,1.484,332111,7
E8A3,Harbor,Icebox,0.3901,2.731,1,2.731,26361,7
E8A3,Jett,Ascent,0.1716,1.201,1,1.201,707279,7
E8A3,Kayo,Ascent,0.3142,2.199,1,2.199,94307,7
E8A3,Killjoy,Ascent,0.2691,1.884,1,1.884,257286,7
E8A3,Neon,Lotus,0.1896,1.327,1,1.327,122600,7
E8A3,Omen,Haven,0.2231,1.562,1,1.562,348288,7
E8A3,Phoenix,Ascent,0.238,1.666,1,1.666,110511,7
E8A3,Raze,Bind,0.2858,2.001,1,2.001,260413,7
E8A3,Reyna,Icebox,0.1621,1.134,1,1.134,547239,7
E8A3,Sage,Icebox,0.1862,1.303,1,1.303,175041,7
E8A3,Skye,Bind,0.4241,2.969,1,2.969,126694,7
E8A3,Sova,Ascent,0.2587,1.811,1,1.811,402403,7
E8A3,Viper,Icebox,0.8393,5.875,1,5.875,88346,7
E8A3,Yoru,Bind,0.2016,1.411,1,1.411,66628,7
E9A1,Astra,Abyss,0.4051,2.836,0,0.0,67784,7
E9A1,Breach,Lotus,0.2883,2.018,1,2.018,166016,7
E9A1,Brimstone,Bind,0.5072,3.55,1,3.55,109255,7
E9A1,Chamber,Lotus,0.2164,1.515,1,1.515,335266,7
E9A1,Clove,Sunset,0.178,1.246,1,1.246,705504,7
E9A1,Cypher,Sunset,0.2645,1.852,1,1.852,525349,7
E9A1,Deadlock,Abyss,0.2792,1.954,0,0.0,84472,7
E9A1,Fade,Lotus,0.3778,2.645,1,2.645,109170,7
E9A1,Gekko,Lotus,0.2195,1.536,1,1.536,369971,7
E9A1,Harbor,Icebox,0.4438,3.107,1,3.107,21593,7
E9A1,Iso,Abyss,0.217,1.519,0,0.0,152568,7
E9A1,Jett,Icebox,0.1721,1.204,1,1.204,843112,7
E9A1,Kayo,Ascent,0.2848,1.993,1,1.993,109672,7
E9A1,Killjoy,Icebox,0.2723,1.906,1,1.906,295033,7
E9A1,Neon,Lotus,0.1971,1.379,1,1.379,206715,7
E9A1,Omen,Haven,0.2172,1.521,1,1.521,407400,7
E9A1,Phoenix,Ascent,0.2409,1.686,1,1.686,139609,7
E9A1,Raze,Bind,0.2915,2.04,1,2.04,325490,7
E9A1,Reyna,Icebox,0.1605,1.124,1,1.124,667082,7
E9A1,Sage,Icebox,0.1836,1.285,1,1.285,206370,7
E9A1,Skye,Bind,0.435,3.045,1,3.045,137846,7
E9A1,Sova,Ascent,0.2269,1.588,1,1.588,571624,7
E9A1,Viper,Icebox,0.866,6.062,1,6.062,101352,7
E9A1,Yoru,Bind,0.1973,1.381,1,1.381,79890,7
E9A2,Astra,Split,0.2543,1.78,1,1.78,130261,7
E9A2,Breach,Lotus,0.333,2.331,1,2.331,160147,7
E9A2,Brimstone,Bind,0.3776,2.643,1,2.643,285332,7
E9A2,Chamber,Breeze,0.2683,1.878,0,0.0,366168,7
E9A2,Cypher,Split,0.1956,1.369,1,1.369,301784,7
E9A2,Deadlock,Bind,0.193,1.351,1,1.351,54509,7
E9A2,Fade,Lotus,0.199,1.393,1,1.393,110162,7
E9A2,Gekko,Lotus,0.3184,2.229,1,2.229,123744,7
E9A2,Harbor,Breeze,0.3999,2.799,0,0.0,61598,7
E9A2,Jett,Breeze,0.2007,1.405,0,0.0,638580,7
E9A2,Kayo,Ascent,0.293,2.051,1,2.051,129238,7
E9A2,Killjoy,Ascent,0.2766,1.936,1,1.936,369693,7
E9A2,Neon,Breeze,0.3168,2.217,0,0.0,68810,7
E9A2,Omen,Haven,0.2092,1.464,1,1.464,582023,7
E9A2,Phoenix,Haven,0.2076,1.453,1,1.453,186335,7
E9A2,Raze,Bind,0.2386,1.67,1,1.67,519866,7
E9A2,Reyna,Breeze,0.173,1.211,0,0.0,666467,7
E9A2,Sage,Split,0.2719,1.903,1,1.903,376257,7
E9A2,Skye,Bind,0.2311,1.617,1,1.617,461424,7
E9A2,Sova,Ascent,0.3009,2.106,1,2.106,362394,7
E9A2,Viper,Breeze,0.6974,4.882,0,0.0,204439,7
E9A2,Yoru,Breeze,0.2218,1.552,0,0.0,84479,7
E9A3,Astra,Pearl,0.4413,3.089,0,0.0,156644,7
E9A3,Breach,Split,0.2467,1.727,1,1.727,246219,7
E9A3,Brimstone,Bind,0.4391,3.073,1,3.073,160379,7
E9A3,Chamber,Pearl,0.2482,1.737,0,0.0,429391,7
E9A3,Clove,Sunset,0.179,1.253,0,0.0,1057019,7
E9A3,Cypher,Bind,0.1764,1.235,1,1.235,777825,7
E9A3,Deadlock,Sunset,0.2261,1.583,0,0.0,203674,7
E9A3,Fade,Pearl,0.4251,2.975,0,0.0,186917,7
E9A3,Gekko,Sunset,0.2406,1.684,0,0.0,411044,7
E9A3,Harbor,Pearl,0.7155,5.009,0,0.0,35949,7
E9A3,Iso,Abyss,0.2685,1.879,1,1.879,94734,7
E9A3,Jett,Ascent,0.1735,1.215,1,1.215,1164384,7
E9A3,Kayo,Ascent,0.2535,1.774,1,1.774,157088,7
