act_name,act_idx,agent,win_rate_pct,pick_rate_pct,matches,total_matches_dp,kd,kills,deaths,avg_score,source,overlap_vstats
E2A1,0,Breach,42.97,2.087,5799.0,277854,0.898,13.9,15.5,195.0,maxmunzy,False
E2A1,0,Brimstone,50.16,9.305,25855.0,277854,0.948,14.2,14.9,201.0,maxmunzy,False
E2A1,0,Cypher,48.14,5.078,14109.0,277854,0.965,14.2,14.7,195.0,maxmunzy,False
E2A1,0,Jett,50.01,14.631,40652.0,277854,1.088,17.1,15.7,238.0,maxmunzy,False
E2A1,0,Killjoy,50.79,7.757,21552.0,277854,0.983,14.0,14.3,198.0,maxmunzy,False
E2A1,0,Omen,49.3,8.18,22729.0,277854,0.962,14.7,15.2,202.0,maxmunzy,False
E2A1,0,Phoenix,51.23,5.301,14728.0,277854,1.053,16.4,15.5,231.0,maxmunzy,False
E2A1,0,Raze,50.32,9.964,27685.0,277854,1.038,16.3,15.8,239.0,maxmunzy,False
E2A1,0,Reyna,50.86,15.558,43229.0,277854,1.109,17.2,15.6,242.0,maxmunzy,False
E2A1,0,Sage,51.81,10.685,29688.0,277854,0.955,14.0,14.7,196.0,maxmunzy,False
E2A1,0,Skye,48.2,0.67,1861.0,277854,0.914,13.9,15.2,193.0,maxmunzy,False
E2A1,0,Sova,50.09,7.299,20281.0,277854,1.0,14.4,14.4,206.0,maxmunzy,False
E2A1,0,Viper,48.39,0.801,2225.0,277854,0.972,14.4,14.9,199.0,maxmunzy,False
E2A1,0,Yoru,44.7,2.685,7461.0,277854,0.918,14.5,15.8,203.0,maxmunzy,False
E2A2,1,Astra,47.87,1.33,93585.0,7038714,0.978,14.6,14.9,200.0,maxmunzy,False
E2A2,1,Breach,47.17,2.638,185691.0,7038714,0.897,13.9,15.4,195.0,maxmunzy,False
E2A2,1,Brimstone,50.8,4.752,334509.0,7038714,0.959,14.4,15.0,203.0,maxmunzy,False
E2A2,1,Cypher,47.67,5.073,357051.0,7038714,0.956,14.1,14.8,195.0,maxmunzy,False
E2A2,1,Jett,49.56,15.196,1069623.0,7038714,1.08,17.2,15.9,239.0,maxmunzy,False
E2A2,1,Killjoy,50.77,7.229,508827.0,7038714,0.985,14.2,14.4,199.0,maxmunzy,False
E2A2,1,Omen,49.7,11.75,827016.0,7038714,0.969,14.7,15.2,203.0,maxmunzy,False
E2A2,1,Phoenix,48.61,4.907,345372.0,7038714,1.042,16.2,15.6,230.0,maxmunzy,False
E2A2,1,Raze,50.93,9.766,687429.0,7038714,1.035,16.5,15.9,241.0,maxmunzy,False
E2A2,1,Reyna,51.21,13.018,916266.0,7038714,1.105,17.3,15.7,243.0,maxmunzy,False
E2A2,1,Sage,50.6,13.106,922488.0,7038714,0.952,14.0,14.7,195.0,maxmunzy,False
E2A2,1,Skye,48.25,1.073,75531.0,7038714,0.931,14.0,15.0,195.0,maxmunzy,False
E2A2,1,Sova,49.6,7.777,547383.0,7038714,0.991,14.3,14.4,206.0,maxmunzy,False
E2A2,1,Viper,48.11,1.703,119901.0,7038714,0.985,14.5,14.8,204.0,maxmunzy,False
E2A2,1,Yoru,42.63,0.683,48042.0,7038714,0.92,14.6,15.8,204.0,maxmunzy,False
E2A3,2,Astra,50.72,1.784,147951.0,8294232,0.981,14.6,14.9,198.0,maxmunzy,False
E2A3,2,Breach,44.5,1.613,133824.0,8294232,0.875,13.8,15.7,194.0,maxmunzy,False
E2A3,2,Brimstone,50.15,3.221,267189.0,8294232,0.948,14.1,15.0,201.0,maxmunzy,False
E2A3,2,Cypher,47.56,3.981,330174.0,8294232,0.953,14.3,14.9,196.0,maxmunzy,False
E2A3,2,Jett,50.6,15.741,1305600.0,8294232,1.088,17.4,16.0,242.0,maxmunzy,False
E2A3,2,Killjoy,49.4,6.529,541518.0,8294232,0.974,14.1,14.6,199.0,maxmunzy,False
E2A3,2,Omen,49.3,10.54,874242.0,8294232,0.959,14.7,15.3,201.0,maxmunzy,False
E2A3,2,Phoenix,48.7,3.99,330939.0,8294232,1.03,16.2,15.7,230.0,maxmunzy,False
E2A3,2,Raze,50.31,8.265,685542.0,8294232,1.033,16.5,16.0,240.0,maxmunzy,False
E2A3,2,Reyna,50.18,13.457,1116135.0,8294232,1.1,17.4,15.8,243.0,maxmunzy,False
E2A3,2,Sage,51.34,14.173,1175550.0,8294232,0.949,14.0,14.8,196.0,maxmunzy,False
E2A3,2,Skye,48.25,3.126,259284.0,8294232,0.935,14.3,15.4,198.0,maxmunzy,False
E2A3,2,Sova,50.41,8.251,684369.0,8294232,0.984,14.3,14.5,205.0,maxmunzy,False
E2A3,2,Viper,49.55,4.355,361182.0,8294232,0.977,14.3,14.7,201.0,maxmunzy,False
E2A3,2,Yoru,44.16,0.973,80733.0,8294232,0.961,15.0,15.7,210.0,maxmunzy,False
E3A1,3,Astra,51.61,1.628,185997.0,11423031,0.989,14.4,14.6,195.0,maxmunzy,False
E3A1,3,Breach,48.48,0.941,107508.0,11423031,0.918,14.1,15.4,194.0,maxmunzy,False
E3A1,3,Brimstone,51.61,3.69,421566.0,11423031,0.97,14.5,15.0,201.0,maxmunzy,False
E3A1,3,Cypher,48.2,4.342,496026.0,11423031,0.967,14.4,14.8,194.0,maxmunzy,False
E3A1,3,Jett,49.54,16.308,1862877.0,11423031,1.093,17.3,15.8,240.0,maxmunzy,False
E3A1,3,KAY/O,45.46,3.009,343689.0,11423031,0.9,14.0,15.6,196.0,maxmunzy,False
