,shap_mean_abs
vct_pr_pre_slope,0.15740946
role_meta_trend,0.12908629
value_chg_max_abs,0.11459137
role_pr_share_pre,0.11455138
vct_pr_t-1,0.10415118
rank_pr_pre_slope,0.09285403
rank_pr_pre_avg,0.087231584
rank_pr_t-1,0.085938506
subrole_rival_pr_mean_pre,0.08571517
vct_rank_pr_ratio,0.07673362
rank_wr_pre_avg,0.07657041
identity_nerfed,0.060504887
patch_importance_score,0.060418982
max_skill_weight,0.05748732
subrole_meta_trend,0.052487317
role_rival_pr_mean_pre,0.05120658
vct_absence_pre,0.050477866
agent_role,0.046858985
vct_pr_pre_avg,0.04530269
agent_subrole,0.04106855
rank_vct_pr_gap_pre,0.04049634
acts_since_last_patch,0.040403616
rank_wr_vs50_pre,0.032413036
n_changes,0.029607572
rank_wr_t-1,0.029356703
subrole_rank_pre,0.02657322
has_identity_change,0.02121259
prev_buff_count,0.015847076
direction,0.014417627
prev_nerf_count,0.014061172
role_rank_pre,0.013756151
n_skills_changed,0.012783066
n_prev_patches,0.011127065
multi_patch_4acts,0.0074350317
vct_pre_n_events,0.0050648972
last_patch_direction,0.003289501
identity_buffed,0.0012416804
has_ult_change,0.0010827904
trigger_type,0.0
has_mechanic,0.0
rank_pre_n_acts,0.0
mobility_skill_nerfed,0.0
