,shap_mean_abs
acts_since_patch,0.35588172
agent_team_synergy,0.32315582
vct_pre_n,0.23635341
vct_pr_last,0.22651522
kit_x_rank_pr,0.21001904
rank_pr_avg3,0.20454192
map_hhi,0.19182923
vct_pr_avg,0.18157233
rank_wr,0.18010913
n_nerf_patches,0.1678229
strength_vs_direction,0.15583709
pro_rank_ratio,0.15562265
rank_pr_slope,0.15542531
vct_pr_slope,0.14481537
rank_pr,0.14313874
n_total_patches,0.13416345
high_value_cc,0.122389354
tier_gap,0.12095369
kit_pr_gap,0.1148021
vct_profile,0.104105115
agent_replaceability,0.09279354
agent_complexity,0.092277795
rank_pr_vs_peak,0.088638976
map_explains_vct_drop,0.075240806
rank_pr_peak,0.07109268
last_vct_verdict,0.0662086
rank_wr_vs50,0.060583595
has_cc,0.05821209
last_rank_verdict,0.053222977
geo_synergy,0.047596835
high_value_smoke,0.04312682
kit_score,0.042511977
last_direction,0.03806056
patch_streak,0.036087226
skill_ceiling_score,0.0354245
vct_wr_last,0.03464441
vct_pr_peak_all,0.02964653
recent_dual_miss_count,0.027924094
nerf_miss_flag,0.025165621
dir_verdict_code,0.024448771
has_info,0.022160212
has_smoke,0.020046547
mobility_rank_dom,0.016911115
has_heal,0.015792102
n_buff_patches,0.013212269
agent_tier_score,0.01280905
both_weak_signal,0.005907018
last_max_skill_w,0.0
recent_buff_fail_count,0.0
has_revive,0.0
patch_streak_direction,0.0
vct_low_unexpected,0.0
top_map_in_rotation,0.0
has_mobility,0.0
pro_dominant_flag,0.0
buff_miss_flag,0.0
