,shap_mean_abs
rank_pr_peak,0.10392452
acts_since_patch,0.07878671
nerf_miss_flag,0.06531755
recent_dual_miss_count,0.06391239
pro_rank_ratio,0.06362359
vct_pr_peak_all,0.056024794
vct_wr_last,0.03696553
last_rank_verdict,0.036089133
rank_pr_avg3,0.029515117
vct_pr_last,0.029454231
vct_pr_avg,0.029063847
last_vct_verdict,0.02525106
rank_pr_slope,0.025242658
strength_vs_direction,0.020803757
rank_pr_vs_peak,0.019019546
kit_x_rank_pr,0.018473148
rank_wr,0.01760696
vct_pr_slope,0.013896729
kit_score,0.013648219
map_hhi,0.009633311
dir_verdict_code,0.009301237
agent_complexity,0.0091382
vct_pre_n,0.005983757
geo_synergy,0.005823722
kit_pr_gap,0.004115542
buff_miss_flag,0.004044959
rank_pr,0.0033181163
recent_buff_fail_count,0.0029488993
high_value_smoke,0.0029256665
mobility_rank_dom,0.0024557584
pro_dominant_flag,0.002008488
map_explains_vct_drop,0.0017165903
n_total_patches,0.0015229596
patch_streak,0.0010953874
last_max_skill_w,0.0
last_direction,0.0
vct_profile,0.0
rank_wr_vs50,0.0
n_nerf_patches,0.0
n_buff_patches,0.0
has_revive,0.0
has_heal,0.0
has_mobility,0.0
has_info,0.0
has_cc,0.0
has_smoke,0.0
both_weak_signal,0.0
vct_low_unexpected,0.0
top_map_in_rotation,0.0
agent_replaceability,0.0
agent_team_synergy,0.0
patch_streak_direction,0.0
tier_gap,0.0
agent_tier_score,0.0
high_value_cc,0.0
skill_ceiling_score,0.0
