rank_pr,rank_wr,rank_wr_vs50,rank_pr_slope,rank_pr_avg3,rank_pr_peak,vct_pr_last,vct_wr_last,vct_pr_avg,vct_pre_n,vct_profile,vct_pr_peak_all,vct_pr_slope,rank_vct_gap,n_total_patches,n_nerf_patches,n_buff_patches,acts_since_patch,last_direction,last_combined,last_rank_verdict,last_vct_verdict,last_max_skill_w,last_trigger_type,recent_dual_miss_count,recent_buff_fail_count,patch_streak,patch_streak_direction,map_dep_score,top_map_in_rotation,effective_map_dep,map_explains_vct_drop,pro_rank_ratio,agent_team_synergy,agent_complexity,agent_replaceability,design_rank_only,design_pro_only,rank_low_unexpected,vct_low_unexpected,both_weak_signal,kit_score,has_smoke,has_cc,has_info,has_mobility,has_heal,has_revive,high_value_smoke,high_value_cc,kit_pr_gap,replaceable_low_pr,low_kit_weak_signal,agent_tier_score,tier_gap,op_synergy,geo_synergy,geo_bonus,smoke_vct_dom,mobility_rank_dom,kit_x_rank_pr,heal_low_rank,revive_low_rank,info_low_vct,cc_low_rank,smoke_low_vct,rank_dominant_flag,skill_ceiling_score,pro_dominant_flag,map_versatility,map_hhi,map_specialist,specialist_low_pr,versatile_nerf_signal,rank_pr_vs_peak,buff_miss_flag,nerf_miss_flag,buff_hit_flag,nerf_hit_flag,dir_verdict_code,strength_vs_direction,agent,act,act_idx,label,label_direction,label_skill,label_trigger,label_context,label_has_rework,label_group
1.33,47.87,-2.1300000000000026,0.0,1.33,1.33,0.0,,0.0,0,pro_absent,0.0,0.0,,0,0,0,0,none,UNKNOWN,NO_DATA,NO_DATA,2.0,rank,0,0,0,none,1.0,1,1.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.234,0.0,0.0,3,0.5,0.0,1.0,0.0,0.0,0.0,0.931,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Astra,E2A2,1,stable,,,,,,stable
1.784,50.72,0.7199999999999989,0.45399999999999974,1.557,1.784,0.0,,0.0,0,pro_absent,0.0,0.0,,0,0,0,0,none,UNKNOWN,NO_DATA,NO_DATA,2.0,rank,0,0,0,none,1.0,1,1.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1432,0.0,0.0,3,0.5,0.0,1.0,0.0,0.0,0.0,1.249,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Astra,E2A3,2,stable_balanced,none,none,none,none,0.0,stable
1.628,51.61,1.6099999999999994,0.14900000000000005,1.5806666666666667,1.784,0.0,,0.0,0,pro_absent,0.0,0.0,,0,0,0,1,none,UNKNOWN,NO_DATA,NO_DATA,2.0,rank,0,0,0,none,1.0,1,1.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1744,0.0,0.0,3,0.5,0.0,1.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.228,0.9125560538116592,0.0,0.0,0.0,0.0,0.0,0.0,Astra,E3A1,3,rework,nerf,multi,rank,first,,rework
3.114,49.55,-0.45000000000000284,0.6649999999999997,2.175333333333333,3.114,0.0,,0.0,0,pro_absent,0.0,0.0,,1,1,0,0,nerf,UNKNOWN,MISS,NO_DATA,2.0,rank,0,0,1,nerf,1.0,1,1.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8772,0.0,0.0,3,0.5,0.0,1.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.436,1.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000284,Astra,E3A2,4,stable_balanced,none,none,none,none,0.0,stable
3.929,49.65,-0.3500000000000014,1.1504999999999999,2.890333333333333,3.929,0.0,,0.0,0,pro_absent,0.0,0.0,,1,1,0,1,nerf,UNKNOWN,MISS,NO_DATA,2.0,rank,0,0,1,nerf,1.0,1,1.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.7142,0.0,0.0,3,0.5,0.0,1.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.3500000000000014,Astra,E3A3,5,stable_balanced,none,none,none,none,0.0,stable
5.171,49.35,-0.6499999999999986,1.0285000000000002,4.071333333333333,5.171,0.0,,0.0,0,pro_absent,0.0,0.0,,1,1,0,2,nerf,UNKNOWN,MISS,NO_DATA,2.0,rank,0,0,1,nerf,1.0,1,1.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.4657999999999998,0.0,0.0,3,0.5,0.0,1.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.724,1.0,0.0,0.0,0.0,0.0,0.0,0.6499999999999986,Astra,E4A1,6,nerf_E_skill_ceil,nerf,E,skill_ceil,first,,nerf
0.605,48.25,-1.75,-1.6619999999999995,3.235,5.171,0.0,,0.0,0,pro_absent,0.0,0.0,,2,2,0,0,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.0,1,1.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.379,0.0,0.0,3,0.5,0.0,1.0,0.0,0.0,0.0,0.423,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.085,0.11699864629665441,0.0,0.0,0.0,0.0,0.0,1.75,Astra,E4A2,7,stable_balanced,none,none,none,none,0.0,stable
0.873,48.75,-1.25,-2.149,2.2163333333333335,5.171,22.5,48.1,22.5,1,pro_staple,22.5,0.0,-21.627,2,2,0,1,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.0,1,1.0,0.0,25.77319587628866,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3254,0.0,0.0,3,0.5,0.0,1.0,0.0,2.25,0.0,0.611,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.122,0.16882614581318892,0.0,0.0,0.0,0.0,0.0,1.25,Astra,E4A3,8,stable_balanced,none,none,none,none,0.0,stable
1.072,48.11,-1.8900000000000006,0.23349999999999996,0.85,5.171,24.2,34.4,23.35,2,pro_staple,24.2,1.6999999999999942,-22.278000000000002,2,2,0,2,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.0,1,1.0,0.0,22.57462686567164,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2856,0.0,0.0,3,0.5,0.0,1.0,0.0,2.42,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.15,0.2073099980661381,0.0,0.0,0.0,0.0,0.0,1.8900000000000006,Astra,E5A1,9,stable_balanced,none,none,none,none,0.0,stable
1.498,50.01,0.00999999999999801,0.3124999999999999,1.1476666666666666,5.171,24.2,34.4,23.35,2,pro_staple,24.2,1.6999999999999942,-21.852,2,2,0,3,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.0,1,1.0,0.0,16.15487316421896,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2004,0.0,0.0,3,0.5,0.0,1.0,0.0,2.42,0.0,1.049,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.21,0.28969251595436085,0.0,0.0,0.0,0.0,0.0,-0.00999999999999801,Astra,E5A2,10,stable_balanced,none,none,none,none,0.0,stable
