agent,picks,wins,pick_rate_pct,win_rate_pct,event_id,event,year,total_maps,patch_before,patch_after
Astra,32,11,24.2,34.4,1014,Masters Copenhagen 2022,2022,66,,4.08
Breach,43,17,32.6,39.5,1014,Masters Copenhagen 2022,2022,66,,4.08
Brimstone,39,18,29.5,46.2,1014,Masters Copenhagen 2022,2022,66,,4.08
Chamber,101,50,76.5,49.5,1014,Masters Copenhagen 2022,2022,66,,4.08
Cypher,3,3,2.3,100.0,1014,Masters Copenhagen 2022,2022,66,,4.08
Fade,68,34,51.5,50.0,1014,Masters Copenhagen 2022,2022,66,,4.08
Jett,23,12,17.4,52.2,1014,Masters Copenhagen 2022,2022,66,,4.08
Kayo,58,28,43.9,48.3,1014,Masters Copenhagen 2022,2022,66,,4.08
Killjoy,15,7,11.4,46.7,1014,Masters Copenhagen 2022,2022,66,,4.08
Neon,19,7,14.4,36.8,1014,Masters Copenhagen 2022,2022,66,,4.08
Omen,38,24,28.8,63.2,1014,Masters Copenhagen 2022,2022,66,,4.08
Raze,71,38,53.8,53.5,1014,Masters Copenhagen 2022,2022,66,,4.08
Sage,30,17,22.7,56.7,1014,Masters Copenhagen 2022,2022,66,,4.08
Skye,30,14,22.7,46.7,1014,Masters Copenhagen 2022,2022,66,,4.08
Sova,25,15,18.9,60.0,1014,Masters Copenhagen 2022,2022,66,,4.08
Viper,61,34,46.2,55.7,1014,Masters Copenhagen 2022,2022,66,,4.08
Yoru,4,1,3.0,25.0,1014,Masters Copenhagen 2022,2022,66,,4.08
Astra,37,16,21.5,43.2,1015,Champions 2022,2022,86,5.12,
Breach,44,21,25.6,47.7,1015,Champions 2022,2022,86,5.12,
Brimstone,35,19,20.3,54.3,1015,Champions 2022,2022,86,5.12,
Chamber,115,58,66.9,50.4,1015,Champions 2022,2022,86,5.12,
Cypher,10,6,5.8,60.0,1015,Champions 2022,2022,86,5.12,
Fade,92,48,53.5,52.2,1015,Champions 2022,2022,86,5.12,
Jett,54,26,31.4,48.1,1015,Champions 2022,2022,86,5.12,
Kayo,77,40,44.8,51.9,1015,Champions 2022,2022,86,5.12,
Killjoy,28,13,16.3,46.4,1015,Champions 2022,2022,86,5.12,
Neon,27,13,15.7,48.1,1015,Champions 2022,2022,86,5.12,
Omen,60,30,34.9,50.0,1015,Champions 2022,2022,86,5.12,
Phoenix,10,5,5.8,50.0,1015,Champions 2022,2022,86,5.12,
Raze,59,32,34.3,54.2,1015,Champions 2022,2022,86,5.12,
Reyna,2,1,1.2,50.0,1015,Champions 2022,2022,86,5.12,
Sage,37,18,21.5,48.6,1015,Champions 2022,2022,86,5.12,
Skye,36,16,20.9,44.4,1015,Champions 2022,2022,86,5.12,
Sova,56,28,32.6,50.0,1015,Champions 2022,2022,86,5.12,
Viper,79,40,45.9,50.6,1015,Champions 2022,2022,86,5.12,
Yoru,2,0,1.2,0.0,1015,Champions 2022,2022,86,5.12,
Astra,50,23,31.6,46.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Breach,49,24,31.0,49.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Brimstone,15,9,9.5,60.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Chamber,4,2,2.5,50.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Cypher,25,11,15.8,44.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Fade,37,17,23.4,45.9,1188,VCT LOCK//IN 2023,2023,79,,5.12
Harbor,20,11,12.7,55.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Jett,96,48,60.8,50.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Kayo,64,26,40.5,40.6,1188,VCT LOCK//IN 2023,2023,79,,5.12
Killjoy,111,59,70.3,53.2,1188,VCT LOCK//IN 2023,2023,79,,5.12
Neon,11,7,7.0,63.6,1188,VCT LOCK//IN 2023,2023,79,,5.12
Omen,61,30,38.6,49.2,1188,VCT LOCK//IN 2023,2023,79,,5.12
Phoenix,3,2,1.9,66.7,1188,VCT LOCK//IN 2023,2023,79,,5.12
Raze,45,22,28.5,48.9,1188,VCT LOCK//IN 2023,2023,79,,5.12
Reyna,1,0,0.6,0.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Sage,29,16,18.4,55.2,1188,VCT LOCK//IN 2023,2023,79,,5.12
Skye,38,22,24.1,57.9,1188,VCT LOCK//IN 2023,2023,79,,5.12
Sova,63,32,39.9,50.8,1188,VCT LOCK//IN 2023,2023,79,,5.12
Viper,64,32,40.5,50.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Yoru,2,1,1.3,50.0,1188,VCT LOCK//IN 2023,2023,79,,5.12
Astra,59,28,21.2,47.5,1189,VCT Americas League 2023,2023,139,,
Breach,64,28,23.0,43.8,1189,VCT Americas League 2023,2023,139,,
Brimstone,40,19,14.4,47.5,1189,VCT Americas League 2023,2023,139,,
Chamber,4,3,1.4,75.0,1189,VCT Americas League 2023,2023,139,,
Cypher,8,2,2.9,25.0,1189,VCT Americas League 2023,2023,139,,
Fade,10,1,3.6,10.0,1189,VCT Americas League 2023,2023,139,,
Gekko,9,5,3.2,55.6,1189,VCT Americas League 2023,2023,139,,
Harbor,75,39,27.0,52.0,1189,VCT Americas League 2023,2023,139,,
Jett,198,97,71.2,49.0,1189,VCT Americas League 2023,2023,139,,
Kayo,55,26,19.8,47.3,1189,VCT Americas League 2023,2023,139,,
Killjoy,210,110,75.5,52.4,1189,VCT Americas League 2023,2023,139,,
Neon,17,12,6.1,70.6,1189,VCT Americas League 2023,2023,139,,
Omen,103,52,37.1,50.5,1189,VCT Americas League 2023,2023,139,,
Phoenix,2,1,0.7,50.0,1189,VCT Americas League 2023,2023,139,,
Raze,91,44,32.7,48.4,1189,VCT Americas League 2023,2023,139,,
Sage,20,10,7.2,50.0,1189,VCT Americas League 2023,2023,139,,
Skye,172,90,61.9,52.3,1189,VCT Americas League 2023,2023,139,,
Sova,93,45,33.5,48.4,1189,VCT Americas League 2023,2023,139,,
Viper,160,83,57.6,51.9,1189,VCT Americas League 2023,2023,139,,
Astra,47,27,18.2,57.4,1190,VCT EMEA League 2023,2023,129,,
Breach,68,28,26.4,41.2,1190,VCT EMEA League 2023,2023,129,,
Brimstone,24,9,9.3,37.5,1190,VCT EMEA League 2023,2023,129,,
Chamber,1,0,0.4,0.0,1190,VCT EMEA League 2023,2023,129,,
Cypher,65,38,25.2,58.5,1190,VCT EMEA League 2023,2023,129,,
Fade,56,33,21.7,58.9,1190,VCT EMEA League 2023,2023,129,,
Gekko,20,11,7.8,55.0,1190,VCT EMEA League 2023,2023,129,,
Harbor,18,5,7.0,27.8,1190,VCT EMEA League 2023,2023,129,,
Jett,149,78,57.8,52.3,1190,VCT EMEA League 2023,2023,129,,
Kayo,92,47,35.7,51.1,1190,VCT EMEA League 2023,2023,129,,
Killjoy,152,73,58.9,48.0,1190,VCT EMEA League 2023,2023,129,,
